audio_file,annotation,low_f,high_f,start_time,end_time
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,22.24378882,50.84937888,24.29044189,45.18499481
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,15.20962733,51.31832298,78.27718396,95.52733813
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,10.52018634,51.31832298,133.4179857,155.8310381
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,10.98913043,24.58850932,142.4682426,144.351182
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,13.80279503,28.80900621,157.8354574,159.9006166
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,15.20962733,31.15372671,172.0486125,174.2352519
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,16.14751553,32.56055901,186.9850977,189.293217
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,15.20962733,30.68478261,200.7730731,202.8382324
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,14.27173913,51.31832298,214.6769785,233.3241522
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,10.05124224,24.58850932,254.2076054,256.4549847
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,17.08540373,33.4984472,268.7852006,271.3970196
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,14.27173913,32.09161491,283.3627956,286.5212745
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,12.86490683,50.38043478,285.9690649,301.6399796
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,13.80279503,32.56055901,296.1181913,299.2766702
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,13.33385093,50.38043478,302.6118192,325.2678316
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,12.39596273,51.31832298,351.1927032,384.6604319
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,25,61,378.141,384.4
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,15.20962733,52.72515528,414.2904421,437.0071945
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,22.24378882,49.91149068,466.2120249,503.3241524
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,30,60,519.29,538.833
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,15.67857143,31.15372671,543.5781093,545.7040085
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,14.27173913,29.27795031,558.3986642,561.1319633
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,9.113354037,51.78726708,570.1822203,597.2115112
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,17.55434783,30.21583851,572.9762593,575.0414186
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,10.52018634,25.99534161,606.4328884,609.6521072
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,12.39596273,52.25621118,621.9823231,642.6946561
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,11.45807453,24.11956522,640.9939366,643.2413159
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,15.67857143,32.09161491,656.2341216,658.5422409
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,11.45807453,49.44254658,657.0237414,677.6753344
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,12.39596273,25.05745342,677.0679346,679.2545739
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,15.67857143,29.27795031,692.6062697,694.0032892
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,9.113354037,51.78726708,706.8801649,728.9287774
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,11.92701863,25.05745342,711.3749233,713.2578627
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,16.61645963,29.74689441,725.7095585,727.5924979
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,16.14751553,30.21583851,740.3478936,742.2915729
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,15.67857143,32.56055901,754.4892091,756.0077086
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,16.14751553,52.72515528,756.4936284,778.0563211
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,13.33385093,25.52639752,805.5107918,807.4544712
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,33.02950311,51.31832298,807.5704013,821.8442964
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,11.92701863,27.40217391,839.2981308,841.9984423
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,15.20962733,32.56055901,855.7868453,857.6090447
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,12.86490683,52.25621118,857.5483047,884.0916757
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,11.45807453,26.46428571,875.4058587,876.9850981
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,16.61645963,52.25621118,908.6802677,935.6488187
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,13.80279503,51.31832298,960.3037005,987.3329913
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,10.98913043,22.71273292,977.0623849,978.8238444
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,14.27173913,48.50465839,985.626722,1014.964132
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,11.92701863,21.77484472,1012.473793,1014.903392
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,10.98913043,52.25621118,1018.967421,1045.024872
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,17.55434783,30.68478261,1028.989518,1030.993937
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,13.33385093,52.25621118,1041.982323,1064.942036
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,17.55434783,33.02950311,1042.170093,1043.992292
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,14.74068323,50.84937888,1071.071224,1092.269477
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,15.67857143,32.56055901,1075.510792,1078.244091
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,10.05124224,51.31832298,1092.689107,1113.948099
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,12.39596273,27.40217391,1093.478726,1096.029805
./audio/DCPP01A_d01_121109_191242.d100.x.wav,A,74.76552795,88.83385093,1096.576465,1113.037
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,15.67857143,32.56055901,1107.631141,1110.303701
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,11.45807453,52.72515528,1122.992806,1144.555499
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,11.45807453,23.65062112,1128.520145,1130.767524
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,17.08540373,34.9052795,1143.229595,1144.825234
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,18.02329193,33.02950311,1158.081308,1159.799688
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,18.49223602,33.9673913,1171.03053,1172.81028
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,34.9052795,50.38043478,1192.832683,1208.503598
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,20.83695652,51.78726708,1214.329086,1234.616239
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,16.14751553,50.84937888,1267.106578,1288.061871
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,15.67857143,32.09161491,1268.685818,1270.447277
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,13.80279503,30.21583851,1289.817781,1291.57924
./audio/DCPP01A_d01_121109_191242.d100.x.wav,A,75.70341615,88.83385093,1308.094965,1323.887359
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,17.55434783,51.78726708,1319.453341,1340.044194
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,39.1257764,50.38043478,1338.520145,1351.57924
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,12.39596273,54.60093168,1358.801748,1392.816136
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,11.92701863,24.58850932,1422.385407,1424.572046
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,15.67857143,52.25621118,1424.693526,1445.102159
./audio/DCPP01A_d01_121109_191242.d100.x.wav,A,75.70341615,90.24068323,1433.175078,1450.236137
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,16.61645963,28.34006211,1437.570402,1439.271121
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,12.86490683,27.87111801,1455.306476,1457.979035
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,12.86490683,50.38043478,1475.643269,1497.934842
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,10.52018634,25.05745342,1489.309765,1491.253444
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,12.86490683,25.99534161,1515.063516,1516.764235
