audio_file,annotation,start_time,end_time,start_time,end_time,low_f,high_f
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,24.29044189,45.18499481,11/9/2012 19:13:06,11/9/2012 19:13:27,22.24378882,50.84937888
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,78.27718396,95.52733813,11/9/2012 19:14:00,11/9/2012 19:14:30,15.20962733,51.31832298
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,133.4179857,155.8310381,11/9/2012 19:14:55,11/9/2012 19:15:18,10.52018634,51.31832298
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,142.4682426,144.351182,11/9/2012 19:15:04,11/9/2012 19:15:06,10.98913043,24.58850932
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,157.8354574,159.9006166,11/9/2012 19:15:20,11/9/2012 19:15:22,13.80279503,28.80900621
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,172.0486125,174.2352519,11/9/2012 19:15:34,11/9/2012 19:15:36,15.20962733,31.15372671
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,186.9850977,189.293217,11/9/2012 19:15:49,11/9/2012 19:15:51,16.14751553,32.56055901
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,200.7730731,202.8382324,11/9/2012 19:16:03,11/9/2012 19:16:05,15.20962733,30.68478261
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,214.6769785,233.3241522,11/9/2012 19:16:17,11/9/2012 19:16:35,14.27173913,51.31832298
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,254.2076054,256.4549847,11/9/2012 19:16:56,11/9/2012 19:16:58,10.05124224,24.58850932
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,268.7852006,271.3970196,11/9/2012 19:17:11,11/9/2012 19:17:13,17.08540373,33.4984472
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,283.3627956,286.5212745,11/9/2012 19:17:25,11/9/2012 19:17:29,14.27173913,32.09161491
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,285.9690649,301.6399796,11/9/2012 19:17:28,11/9/2012 19:17:44,12.86490683,50.38043478
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,296.1181913,299.2766702,11/9/2012 19:17:38,11/9/2012 19:17:41,13.80279503,32.56055901
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,302.6118192,325.2678316,11/9/2012 19:17:45,11/9/2012 19:18:07,13.33385093,50.38043478
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,351.1927032,384.6604319,11/9/2012 19:18:33,11/9/2012 19:19:07,12.39596273,51.31832298
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,378.141,384.4,11/9/2012 19:19:00,11/9/2012 19:19:06,25,61
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,414.2904421,437.0071945,11/9/2012 19:19:36,11/9/2012 19:19:59,15.20962733,52.72515528
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,466.2120249,503.3241524,11/9/2012 19:20:28,11/9/2012 19:21:05,22.24378882,49.91149068
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,519.29,538.833,11/9/2012 19:21:21,11/9/2012 19:21:40,30,60
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,543.5781093,545.7040085,11/9/2012 19:21:46,11/9/2012 19:21:48,15.67857143,31.15372671
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,558.3986642,561.1319633,11/9/2012 19:22:00,11/9/2012 19:22:03,14.27173913,29.27795031
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,570.1822203,597.2115112,11/9/2012 19:22:12,11/9/2012 19:22:39,9.113354037,51.78726708
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,572.9762593,575.0414186,11/9/2012 19:22:15,11/9/2012 19:22:17,17.55434783,30.21583851
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,606.4328884,609.6521072,11/9/2012 19:22:48,11/9/2012 19:22:52,10.52018634,25.99534161
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,621.9823231,642.6946561,11/9/2012 19:23:04,11/9/2012 19:23:25,12.39596273,52.25621118
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,640.9939366,643.2413159,11/9/2012 19:23:23,11/9/2012 19:23:25,11.45807453,24.11956522
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,656.2341216,658.5422409,11/9/2012 19:23:38,11/9/2012 19:23:41,15.67857143,32.09161491
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,657.0237414,677.6753344,11/9/2012 19:23:39,11/9/2012 19:24:00,11.45807453,49.44254658
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,677.0679346,679.2545739,11/9/2012 19:23:59,11/9/2012 19:24:01,12.39596273,25.05745342
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,692.6062697,694.0032892,11/9/2012 19:24:15,11/9/2012 19:24:16,15.67857143,29.27795031
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,706.8801649,728.9287774,11/9/2012 19:24:29,11/9/2012 19:24:51,9.113354037,51.78726708
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,711.3749233,713.2578627,11/9/2012 19:24:33,11/9/2012 19:24:35,11.92701863,25.05745342
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,725.7095585,727.5924979,11/9/2012 19:24:48,11/9/2012 19:24:50,16.61645963,29.74689441
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,740.3478936,742.2915729,11/9/2012 19:25:02,11/9/2012 19:25:04,16.14751553,30.21583851
./audio/DCPP01A_d01_121109_191242.d100.x.wav,20Hz,754.4892091,756.0077086,11/9/2012 19:25:16,11/9/2012 19:25:18,15.67857143,32.56055901
./audio/DCPP01A_d01_121109_191242.d100.x.wav,B,756.4936284,778.0563211,11/9/2012 19:25:18,11/9/2012 19:25:40,16.14751553,52.72515528
