audio_file,annotation,start_time,end_time,low_f,high_f
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,D,5.529031754,8.060782623,36,81
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,20Hz,20.35788269,21.97760925,16,26
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,20Hz,42.0053833,44.14376831,16,25
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,20Hz,54.24251099,55.63643188,14,25
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,20Hz,69.82974396,71.56760178,15,25
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,20Hz,92.63952637,94.48787231,16,25
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,132.031644,152.0779729,34.67857143,46.93944099
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,20Hz,138.9186127,141.0968536,15,26
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,190.7481899,210.7334019,34.24068323,48.69099379
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,247.1422953,266.8830398,23.29347826,49.12888199
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,304.4004131,313.3845909,35.11645963,48.25310559
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,313.9999995,327.3803511,13,49
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,360.9999994,381.5131327,13,49
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,417.555325,439.0073416,31.61335404,47.81521739
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,20Hz,448.412558,450.0022766,15,26
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,20Hz,495.6473328,497.4529282,15,25
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,570.9694922,592.299275,32.05124224,49.12888199
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,590.9999989,604.8282306,14,49
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,631.6501539,643.9346421,36.43012422,48.25310559
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,644.9999988,667.0284373,15,49
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,689.3277133,701.1843834,37.30590062,47.37732919
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,703.6208069,716.0237488,16,49
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,747.4330906,759.2286438,37.74378882,49.12888199
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,758.3730079,775.2412601,14.97360248,50.88043478
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,804.9272994,826.6237834,10.5947205,49.56677019
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,927.3719734,941.1843829,14.09782609,48.69099379
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,940.5648379,961.283452,32.48913043,49.12888199
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,977.999998,999.1064097,14,47
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,998.1201636,1022.750256,35.11645963,49.56677019
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1033.999998,1048.480453,14,47
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1055.125437,1076.088519,33.36490683,49.12888199
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,40Hz,1059.029013,1060.433527,68,93
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1082.999998,1096.440432,13,49
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,40Hz,1089.525851,1091.114889,68.83385093,104.302795
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,40Hz,1107.860908,1109.57218,52.19409938,92.04192547
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1111.527919,1131.635365,34.24068323,49.56677019
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,40Hz,1126.195965,1128.02947,54.82142857,89.41459627
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1168.227609,1186.990484,33.80279503,48.25310559
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1203.71975,1217.532159,11.90838509,48.69099379
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1222.543741,1236.722852,35.55434783,47.37732919
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,20Hz,1339.631418,1341.319456,15,26
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,20Hz,1373.23905,1375.380273,14,24
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1406.45522,1420.878798,21.10403727,50.00465839
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1463.460494,1476.233917,22.85559006,48.25310559
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1511.999997,1537.884071,20,51
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1564.392034,1579.610131,22.85559006,48.69099379
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1674.68283,1686.478384,37.74378882,48.25310559
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1686.999997,1702.246532,16,49
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1734.805064,1756.990483,34.67857143,46.93944099
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1794.316129,1805.256046,36.86801242,48.69099379
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1806.859342,1820.820631,18,48
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1850.588,1872.590069,32.92701863,47.37732919
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1886.271868,1902.895653,23.73136646,48.25310559
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1908.448911,1929.962044,34.24068323,48.25310559
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,1964.904133,1984.522644,36.86801242,47.81521739
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,2022.520575,2043.300306,34.24068323,49.12888199
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,2053.315094,2071.161216,23.29347826,47.81521739
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,2082.337224,2101.999996,32.48913043,46.5015528
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,2174.659665,2190.366697,23.73136646,48.69099379
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,2228.120161,2249.32771,35.55434783,47.37732919
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,20Hz,2237.910977,2239.548553,14,28
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,2287.631226,2308.34984,35.11645963,49.12888199
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,A,2357.776624,2370.30558,71.02329193,84.15993789
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,2405.981071,2421.993687,12.34627329,49.56677019
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,2475.999971,2490.480554,17,48
./audio/CC2411SR_CO_SB07_20241120_180000_000.wav,B,2523.47528,2539.121195,12.34627329,49.56677019
