audio_file,annotation,start_time,end_time,low_f,high_f
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,40Hz,96.99999988,99.1675282,59.63819876,92
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,B,103.5068251,119.0305066,11.47049689,50.00465839
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,40Hz,105.9999999,107.9683556,84.15993789,101
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,40Hz,120.7778389,122.362248,64,101
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,20Hz,146.4853943,148.4597748,13,24
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,40Hz,223.93367,225.5034515,58,97
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,B,231.9999995,248.1285414,17,49
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,B,373.1317469,390.1222329,11.47049689,49.56677019
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,B,527.9999989,545.1338148,12,49
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,B,675.3930699,689.6944144,21.10403727,50.00465839
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,40Hz,682.7480331,684.1136002,62,78
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,B,727.5173718,741.8798331,22.85559006,47.81521739
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,B,775.9999984,798.3961721,18,50
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,B,826.9999984,840.4889332,19,48
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,B,877.7534626,892.9104429,16.72515528,47.81521739
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,40Hz,914.9999982,916.9293674,68.83385093,87
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,B,930.3055824,946.6848999,21.10403727,48.69099379
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,A,1010.794517,1020.611167,70.3136646,82.3136646
./audio/CC2411SR_CO_SB07_20241120_190000_003.wav,B,1058.006306,1072.613235,14.97360248,47.81521739
