audio_file,annotation,high_f,low_f,start_time,end_time,score
./audio/CO20150122-232930.wav,20Hz,30.3054657,16.28782654,4.53453598,6.699698639,0.860563159
./audio/CO20150122-232930.wav,20Hz,23.92744446,12.75395203,11.85276031,14.00902557,0.984105408
./audio/CO20150122-232930.wav,20Hz,29.94903564,16.53364563,17.40649872,20.122229,0.96553117
./audio/CO20150122-232930.wav,20Hz,24.6774292,13.27812195,27.88242493,29.67310791,0.29385069
./audio/CO20150122-232930.wav,20Hz,31.40351105,15.90689087,30.3790863,32.77357483,0.982886255
./audio/CO20150122-232930.wav,20Hz,30.19573975,16.17198181,59.88890381,62.81716919,0.947048485
./audio/CO20150122-232930.wav,20Hz,23.85792542,12.52603149,63.23348389,65.33407593,0.813007236
./audio/CO20150122-232930.wav,20Hz,30.76495361,16.04151917,82.23123779,84.61496582,0.964030623
./audio/CO20150122-232930.wav,20Hz,30.27822876,15.70269775,102.682258,105.655164,0.553618014
./audio/CO20150122-232930.wav,20Hz,24.78800964,12.66145325,119.6560425,122.1691986,0.976328194
./audio/CO20150122-232930.wav,20Hz,23.58921814,13.13818359,129.0130432,131.4613556,0.935717881
./audio/CO20150122-232930.wav,20Hz,32.98395538,15.69837952,138.4118286,141.0542816,0.966958106
./audio/CO20150122-232930.wav,20Hz,29.37081909,13.42961121,161.3990967,163.4845154,0.877816975
./audio/CO20150122-232930.wav,20Hz,32.48234558,15.84561157,179.9609558,182.3354919,0.982007921
./audio/CO20150122-232930.wav,20Hz,26.79297638,13.17597961,182.3146973,184.6165588,0.567511499
./audio/CO20150122-232930.wav,20Hz,31.57025146,15.13850403,186.50896,188.3429871,0.843960702
./audio/CO20150122-232930.wav,20Hz,31.22664642,14.94047546,201.831794,204.4645733,0.911634207
./audio/CO20150122-232930.wav,20Hz,31.56347656,16.33297729,221.8031479,224.0134628,0.982936263
./audio/CO20150122-232930.wav,20Hz,25.8784256,13.25466919,224.047493,226.0831726,0.669642508
./audio/CO20150122-232930.wav,20Hz,30.85665894,15.62913513,243.0139404,245.2961334,0.951471746
./audio/CO20150122-232930.wav,20Hz,33.33797455,16.12767029,263.2264587,265.6635132,0.977155566
./audio/CO20150122-232930.wav,20Hz,23.84179688,12.95541382,273.8095398,276.1637085,0.078977317
./audio/CO20150122-232930.wav,20Hz,30.23635864,14.95788574,287.7977539,289.7687683,0.710574269
./audio/CO20150122-232930.wav,20Hz,33.16764069,15.8285675,292.2207458,294.6697876,0.964232206
./audio/CO20150122-232930.wav,20Hz,32.75637054,14.29040527,305.5409821,307.822747,0.657704175
./audio/CO20150122-232930.wav,20Hz,31.50091553,15.9442749,324.2233322,326.5457642,0.961577535
./audio/CO20150122-232930.wav,20Hz,26.36252594,13.11578369,327.6807251,329.6942871,0.874763191
./audio/CO20150122-232930.wav,20Hz,29.40567017,16.04660034,329.4914459,331.0785767,0.921050072
./audio/CO20150122-232930.wav,20Hz,29.44540405,16.33995056,331.1388947,332.4732208,0.719088078
./audio/CO20150122-232930.wav,20Hz,33.11548615,16.24275208,332.6131317,334.8731598,0.98345226
./audio/CO20150122-232930.wav,20Hz,31.83222198,15.46353149,346.6977631,348.5494843,0.073853023
./audio/CO20150122-232930.wav,20Hz,23.04121399,12.42332458,350.3359833,352.7901917,0.242730886
./audio/CO20150122-232930.wav,20Hz,31.13027954,13.8846283,368.7183105,371.3330078,0.869846106
./audio/CO20150122-232930.wav,20Hz,32.08475494,17.88026428,373.7207275,374.7957336,0.660917819
./audio/CO20150122-232930.wav,20Hz,31.29592896,15.99916077,387.6195801,389.8814636,0.988801837
./audio/CO20150122-232930.wav,20Hz,25.1335144,12.91572571,410.1639328,412.6586792,0.857816935
./audio/CO20150122-232930.wav,20Hz,31.31931305,15.74043274,412.458252,414.5118195,0.964464664
./audio/CO20150122-232930.wav,20Hz,30.35670471,16.17414856,415.8364609,418.003804,0.358647019
./audio/CO20150122-232930.wav,20Hz,33.22486877,16.23725891,428.7023804,431.2032166,0.98168081
./audio/CO20150122-232930.wav,20Hz,23.78749847,12.80285645,437.876416,440.3861542,0.920456588
./audio/CO20150122-232930.wav,20Hz,31.26544189,16.18133545,453.7140015,455.922937,0.986832917
./audio/CO20150122-232930.wav,20Hz,29.83256531,16.56761169,469.5387756,472.5583435,0.888741612
./audio/CO20150122-232930.wav,20Hz,23.00543976,13.25128174,475.9148499,477.797229,0.492892414
./audio/CO20150122-232930.wav,20Hz,22.4471817,12.99061584,477.722522,479.3530762,0.06872797
./audio/CO20150122-232930.wav,20Hz,26.0503006,14.76739502,496.4429688,498.3154358,0.084524885
./audio/CO20150122-232930.wav,20Hz,24.26260376,12.57868958,508.7203049,510.8669609,0.894053996
./audio/CO20150122-232930.wav,20Hz,26.85651398,14.17900085,510.7152222,512.2647713,0.567094028
./audio/CO20150122-232930.wav,20Hz,31.7049942,16.1774292,513.3080597,515.3052002,0.987626135
./audio/CO20150122-232930.wav,20Hz,32.11425018,16.43235779,527.1834167,529.5995697,0.985070467
./audio/CO20150122-232930.wav,20Hz,23.53238678,13.55348206,532.7911987,534.6591949,0.298566252
./audio/CO20150122-232930.wav,20Hz,29.31838989,13.46687317,550.5796631,553.8056152,0.964897335
./audio/CO20150122-232930.wav,20Hz,30.87678528,14.50157166,556.052417,558.9215088,0.942605495
./audio/CO20150122-232930.wav,20Hz,33.97689056,14.6711731,570.215918,572.944165,0.968229175
./audio/CO20150122-232930.wav,20Hz,24.00559998,13.5665741,578.324408,580.5049316,0.96735549
./audio/CO20150122-232930.wav,20Hz,32.60974884,16.3114624,588.700708,591.2689819,0.983303666
./audio/CO20150122-232930.wav,20Hz,25.27320099,12.63005066,591.8632874,593.9012146,0.951251686
./audio/CO20150122-232930.wav,20Hz,30.32501221,14.44598389,596.8083435,598.9227905,0.881521523
./audio/CO20150122-232930.wav,20Hz,30.74964142,13.94740295,610.8478088,613.6813416,0.977542639
./audio/CO20150122-232930.wav,20Hz,28.28188324,14.64448547,613.4910019,615.1324753,0.687820733
./audio/CO20150122-232930.wav,20Hz,33.04006195,15.63391113,616.6185898,618.9651535,0.94164747
./audio/CO20150122-232930.wav,20Hz,22.24702454,12.73847961,624.6580276,626.1996063,0.390350997
./audio/CO20150122-232930.wav,20Hz,31.87179565,15.93847656,630.1860291,632.7387634,0.979296088
./audio/CO20150122-232930.wav,20Hz,27.56078339,16.82040405,634.5567413,636.1947327,0.068259783
./audio/CO20150122-232930.wav,20Hz,24.94916534,12.36827087,641.1133972,643.5672577,0.972926021
